timestamp,power_in_watts
1734372412.7152486,91.021
1734372412.958216,90.612
1734372412.962257,90.612
1734372413.2016325,90.58
1734372413.469609,90.541
1734372413.7043796,90.499
1734372413.7125654,90.499
1734372413.715151,90.499
1734372413.7173655,90.499
1734372413.7195468,90.499
1734372413.7219405,90.499
1734372413.7241707,90.499
1734372413.726436,90.499
1734372413.7285857,90.499
1734372413.7307892,90.499
1734372413.732964,90.499
1734372413.7560027,90.499
1734372413.7582839,90.499
1734372413.7604609,90.499
1734372413.762752,90.499
1734372413.7650535,90.499
1734372413.7673547,90.499
1734372413.7696338,90.499
1734372413.771925,90.499
1734372413.7742276,90.499
1734372413.776517,90.499
1734372413.7788405,90.499
1734372413.7810788,90.499
1734372413.7832696,90.499
1734372413.7854743,90.499
1734372413.787737,90.499
1734372413.7899516,90.499
1734372413.7922516,90.499
1734372413.7945416,90.499
1734372413.7968054,90.499
1734372413.799017,90.499
1734372413.8012981,90.499
1734372413.8035886,90.499
1734372413.8059285,90.499
1734372413.8082204,90.499
1734372413.8105261,90.499
1734372413.8128176,90.499
1734372413.815107,90.499
1734372413.817371,90.499
1734372413.819595,90.499
1734372413.8218033,90.499
1734372413.824095,90.499
1734372413.8263783,90.499
1734372413.8286438,90.499
1734372413.83083,90.499
1734372413.833037,90.499
1734372413.8353457,90.499
1734372413.837642,90.499
1734372413.8399353,90.499
1734372413.8422027,90.499
1734372413.844419,90.499
1734372413.8466287,90.499
1734372413.8489382,90.499
1734372413.8512454,90.499
1734372413.8535295,90.499
1734372413.8558214,90.499
1734372413.8581145,90.499
1734372413.8604095,90.499
1734372413.862704,90.499
1734372413.865022,90.499
1734372413.8673298,90.499
1734372413.869614,90.499
1734372413.871907,90.499
1734372413.874204,90.499
1734372413.8765,90.499
1734372413.8788607,90.499
1734372413.8840396,90.499
1734372413.886355,90.499
1734372413.888625,90.499
1734372413.890811,90.307
1734372413.893023,90.307
1734372413.8953757,90.307
1734372413.8976858,90.307
1734372413.9002717,90.307
1734372413.9025714,90.307
1734372413.9048498,90.307
1734372413.907044,90.307
1734372413.909231,90.307
1734372413.9114313,90.307
1734372413.9136453,90.307
1734372413.915825,90.307
1734372413.9180267,90.307
1734372413.9203246,90.307
1734372413.922635,90.307
1734372413.9249349,90.307
1734372413.927243,90.307
1734372413.9295251,90.307
1734372413.9319372,90.307
1734372413.9343314,90.307
1734372413.9367437,90.307
1734372413.9391482,90.307
1734372413.9415088,90.307
1734372413.9437323,90.307
1734372413.9460008,90.307
1734372413.9481823,90.307
1734372413.9503357,90.307
1734372413.952628,90.307
1734372413.954923,90.307
1734372413.9572084,90.307
1734372413.959504,90.307
1734372413.9618165,90.307
1734372413.9641104,90.307
1734372413.9664378,90.307
1734372413.968733,90.307
1734372413.9710255,90.307
1734372413.9733121,90.307
1734372413.9756415,90.307
1734372413.9779344,90.307
1734372413.9802284,90.307
1734372413.9825132,94.739
1734372413.9848099,94.739
1734372413.9870543,94.739
1734372413.989362,94.739
1734372413.9916544,94.739
1734372413.9939475,94.739
1734372413.9962792,94.739
1734372413.9985704,94.739
1734372414.0008376,94.739
1734372414.0030334,94.739
1734372414.0052245,94.739
1734372414.007481,94.739
1734372414.00994,94.739
1734372414.0122395,94.739
1734372414.0145562,94.739
1734372414.016826,94.739
1734372414.019039,94.739
1734372414.021249,94.739
1734372414.0235436,94.739
1734372414.0258367,94.739
1734372414.0281272,94.739
1734372414.030419,94.739
1734372414.032709,94.739
1734372414.0350032,94.739
1734372414.0372963,94.739
1734372414.0395975,94.739
1734372414.04189,94.739
1734372414.0441911,94.739
1734372414.0464854,94.739
1734372414.0487847,94.739
1734372414.0510788,94.739
1734372414.0533628,94.739
1734372414.0556633,94.739
1734372414.057958,94.739
1734372414.060277,94.739
1734372414.0625718,94.739
1734372414.0648658,94.739
1734372414.0671756,94.739
1734372414.069462,94.739
1734372414.0717642,94.739
1734372414.0740514,94.739
1734372414.0763261,94.739
1734372414.0785468,94.739
1734372414.0808415,94.739
1734372414.0831275,98.727
1734372414.0865707,98.727
1734372414.0888903,98.727
1734372414.0910912,98.727
1734372414.093294,98.727
1734372414.0955923,98.727
1734372414.0979216,98.727
1734372414.1001446,98.727
1734372414.1024308,98.727
1734372414.1047275,98.727
1734372414.1070285,98.727
1734372414.1093166,98.727
1734372414.1116357,98.727
