timestamp,power_in_watts,sm_clock,step
1736643424.4620564,104.368,1710,idle
1736643424.6495206,104.349,1710,idle
1736643424.8488965,104.336,1710,idle
1736643425.0337296,104.198,1710,idle
1736643425.222396,104.158,1710,idle
1736643425.2349024,104.158,1710,idle
1736643425.2414875,104.158,1710,idle
1736643425.2441804,104.158,1710,idle
1736643425.2467053,104.158,1710,idle
1736643425.249217,104.158,1710,idle
1736643425.2517197,104.158,1710,idle
1736643425.2542157,104.158,1710,idle
1736643425.2568932,104.158,1710,idle
1736643425.2595828,104.158,1710,idle
1736643425.262164,104.158,1710,idle
1736643425.2646625,104.158,1710,idle
1736643425.267167,104.158,1710,idle
1736643425.269653,104.158,1710,idle
1736643425.272137,104.158,1710,idle
1736643425.2747302,104.145,1710,idle
1736643425.2776403,104.145,1710,idle
1736643425.2805912,104.145,1710,idle
1736643425.283263,104.145,1710,idle
1736643425.2858686,104.145,1710,idle
1736643425.288438,104.145,1710,idle
1736643425.2910578,104.145,1710,idle
1736643425.293539,104.145,1710,idle
1736643425.2964406,104.145,1710,idle
1736643425.2994409,104.145,1710,idle
1736643425.302127,104.145,1710,idle
1736643425.3047435,104.145,1710,idle
1736643425.3073611,104.145,1710,idle
1736643425.3099797,104.145,1710,idle
1736643425.3125954,104.145,1710,idle
1736643425.315532,104.145,1710,idle
1736643425.3185172,104.145,1710,idle
1736643425.3211868,104.145,1710,idle
1736643425.3237965,104.145,1710,idle
1736643425.326405,104.145,1710,idle
1736643425.3290148,104.145,1710,idle
1736643425.3316405,104.145,1710,idle
1736643425.3342478,104.145,1710,idle
1736643425.3372042,104.145,1710,idle
1736643425.3400574,104.145,1710,idle
1736643425.3427312,104.145,1710,idle
1736643425.3453348,104.145,1710,idle
1736643425.3480988,104.145,1710,idle
1736643425.3507073,104.145,1710,idle
1736643425.353331,104.145,1710,idle
1736643425.3559375,104.145,1710,idle
1736643425.3591423,104.145,1710,idle
1736643425.3618376,104.145,1710,idle
1736643425.36444,104.145,1710,idle
1736643425.3670342,104.145,1710,idle
1736643425.3696272,104.145,1710,idle
1736643425.3722208,104.145,1710,idle
1736643425.3749428,104.151,1710,idle
1736643425.3779955,104.151,1710,idle
1736643425.380968,104.151,1710,idle
1736643425.3835828,104.151,1710,idle
1736643425.3861754,104.151,1710,idle
1736643425.3890684,104.151,1710,idle
1736643425.3917046,104.151,1710,to_device
1736643425.394309,104.151,1710,to_device
1736643425.3971963,104.151,1710,forward
1736643425.4001634,104.151,1710,forward
1736643425.4028702,104.151,1710,forward
1736643425.4055223,104.151,1710,forward
1736643425.4083295,104.151,1710,forward
1736643425.4109542,104.151,1710,forward
1736643425.4135768,104.151,1710,forward
1736643425.416217,104.151,1710,forward
1736643425.4192429,104.151,1710,forward
1736643425.4222157,104.151,1710,forward
1736643425.4248405,104.151,1710,forward
1736643425.4276187,104.151,1710,backward
1736643425.4303305,104.151,1710,backward
1736643425.4329717,104.151,1710,backward
1736643425.4359162,104.151,1710,backward
1736643425.4388764,104.151,1710,backward
1736643425.4422112,104.151,1710,backward
1736643425.4448652,104.151,1710,backward
1736643425.4475708,104.151,1710,backward
1736643425.450287,104.151,1710,backward
1736643425.4529333,104.151,1710,backward
1736643425.4561477,104.151,1710,backward
1736643425.4593196,104.151,1710,backward
1736643425.4621148,104.151,1710,backward
1736643425.4648566,104.151,1710,backward
1736643425.46761,104.151,1710,backward
1736643425.4704692,104.151,1710,backward
1736643425.4734287,109.423,1710,backward
1736643425.4761772,109.423,1710,backward
1736643425.4793267,109.423,1710,backward
1736643425.482381,109.423,1710,backward
1736643425.4851103,109.423,1710,backward
1736643425.4878666,109.423,1710,backward
1736643425.4906223,109.423,1710,backward
1736643425.4933732,109.423,1710,backward
1736643425.4965923,109.423,1710,backward
1736643425.499786,109.423,1710,backward
1736643425.502889,109.423,1710,backward
1736643425.5056305,109.423,1710,optimize
1736643425.508612,109.423,1710,idle
1736643425.5113091,109.423,1710,idle
