timestamp,power_in_watts,sm_clock
1736868446.3454537, 43.057, 285
1736868446.347896, 43.057, 285
1736868446.4219809, 28.128, 2520
1736868446.499158, 28.128, 2520
1736868446.5830436, 29.637, 2520
1736868446.6623065, 31.079, 2520
1736868446.6683795, 31.079, 2520
1736868446.6704962, 31.079, 2520
1736868446.6733594, 31.079, 2520
1736868446.6759412, 31.079, 2520
1736868446.6780434, 31.079, 2520
1736868446.6801076, 31.079, 2520
1736868446.6821728, 31.079, 2520
1736868446.6842387, 31.079, 2520
1736868446.686308, 31.079, 2520
1736868446.688372, 31.079, 2520
1736868446.6904368, 31.079, 2520
1736868446.6925027, 31.079, 2520
1736868446.6945708, 31.079, 2520
1736868446.6966426, 31.079, 2520
1736868446.6987157, 31.079, 2520
1736868446.7007906, 31.079, 2520
1736868446.7028651, 32.357, 2520
1736868446.7049432, 32.357, 2520
1736868446.7070265, 32.357, 2520
1736868446.7091043, 32.357, 2520
1736868446.711179, 32.357, 2520
1736868446.713254, 32.357, 2520
1736868446.7153301, 32.357, 2520
1736868446.7174077, 32.357, 2520
1736868446.7194836, 32.357, 2520
1736868446.7215614, 32.357, 2520
1736868446.7236347, 32.357, 2520
1736868446.7256987, 32.357, 2520
1736868446.7277665, 32.357, 2520
1736868446.729832, 32.357, 2520
1736868446.7318945, 32.357, 2520
1736868446.73396, 32.357, 2520
1736868446.7359884, 32.357, 2520
1736868446.73806, 32.357, 2520
1736868446.74014, 32.357, 2520
1736868446.7422118, 32.357, 2520
1736868446.744289, 32.357, 2520
1736868446.746364, 32.357, 2520
1736868446.7484396, 32.357, 2520
1736868446.7505143, 32.357, 2520
1736868446.7525885, 32.357, 2520
1736868446.7546628, 32.357, 2520
1736868446.7567387, 32.357, 2520
1736868446.7588146, 32.357, 2520
1736868446.7608893, 32.357, 2520
1736868446.7629638, 32.357, 2520
1736868446.7650437, 32.357, 2520
1736868446.7671194, 32.357, 2520
1736868446.7691965, 32.357, 2520
1736868446.7712734, 32.357, 2520
1736868446.7733493, 32.357, 2520
1736868446.775424, 32.357, 2520
1736868446.7774997, 32.357, 2520
1736868446.7795768, 32.357, 2520
1736868446.7816505, 32.357, 2520
1736868446.7837138, 32.357, 2520
1736868446.7857792, 32.357, 2520
1736868446.7878425, 32.357, 2520
1736868446.789912, 32.357, 2520
1736868446.791977, 32.357, 2520
1736868446.7940388, 32.357, 2520
1736868446.7961051, 32.357, 2520
1736868446.798174, 32.357, 2520
1736868446.8002467, 32.357, 2520
1736868446.8023221, 33.494, 2520
1736868446.8043997, 33.494, 2520
1736868446.8064733, 33.494, 2520
1736868446.8085485, 33.494, 2520
1736868446.8106236, 33.494, 2520
1736868446.812698, 33.494, 2520
1736868446.8148136, 33.494, 2520
1736868446.816971, 33.494, 2520
1736868446.8190532, 33.494, 2520
1736868446.8211343, 33.494, 2520
1736868446.8232107, 33.494, 2520
1736868446.825292, 33.494, 2520
1736868446.8273718, 33.494, 2520
1736868446.8294535, 33.494, 2520
1736868446.8315322, 33.494, 2520
1736868446.8336096, 33.494, 2520
1736868446.8356864, 33.494, 2520
1736868446.8377619, 33.494, 2520
1736868446.839844, 33.494, 2520
1736868446.841926, 33.494, 2520
1736868446.8439877, 33.494, 2520
1736868446.846063, 33.494, 2520
1736868446.8481412, 33.494, 2520
1736868446.850218, 33.494, 2520
1736868446.8522942, 33.494, 2520
1736868446.854369, 33.494, 2520
1736868446.8564425, 33.494, 2520
1736868446.8585172, 33.494, 2520
1736868446.8605924, 33.494, 2520
1736868446.8626676, 33.494, 2520
1736868446.8647416, 33.494, 2520
1736868446.8668158, 33.494, 2520
1736868446.8688905, 33.494, 2520
1736868446.870966, 33.494, 2520
1736868446.8730414, 33.494, 2520
1736868446.875146, 33.494, 2520
1736868446.8772984, 33.494, 2520
1736868446.8793843, 33.494, 2520
1736868446.8816514, 33.494, 2520
1736868446.8837795, 33.494, 2520
1736868446.885872, 33.494, 2520
1736868446.8879588, 33.494, 2520
1736868446.8900588, 33.494, 2520
1736868446.892152, 33.494, 2520
1736868446.8942554, 33.494, 2520
1736868446.8963373, 33.494, 2520
1736868446.8984053, 33.494, 2520
1736868446.900472, 33.494, 2520
1736868446.9025388, 33.494, 2520
1736868446.9046035, 38.04, 2520
1736868446.906668, 38.04, 2520
1736868446.9087338, 38.04, 2520
1736868446.9108016, 38.04, 2520
1736868446.9128726, 38.04, 2520
1736868446.9149463, 38.04, 2520
1736868446.91709, 38.04, 2520
1736868446.9191768, 38.04, 2520
1736868446.9212584, 38.04, 2520
1736868446.9233406, 38.04, 2520
1736868446.9254246, 38.04, 2520
1736868446.9275055, 38.04, 2520
1736868446.9295871, 38.04, 2520
1736868446.9316797, 38.04, 2520
1736868446.9337614, 38.04, 2520
1736868446.9358475, 38.04, 2520
1736868446.937927, 38.04, 2520
1736868446.939992, 38.04, 2520
1736868446.9420805, 38.04, 2520
1736868446.9441826, 38.04, 2520
1736868446.9462626, 38.04, 2520
1736868446.9483314, 38.04, 2520
1736868446.950403, 38.04, 2520
1736868446.9525123, 38.04, 2520
1736868446.9545934, 38.04, 2520
1736868446.9566853, 38.04, 2520
1736868446.9587824, 38.04, 2520
1736868446.9608588, 38.04, 2520
1736868446.9629352, 38.04, 2520
1736868446.9650135, 38.04, 2520
1736868446.96709, 38.04, 2520
1736868446.9691677, 38.04, 2520
1736868446.9712427, 38.04, 2520
1736868446.9733202, 38.04, 2520
1736868446.9754004, 38.04, 2520
1736868446.977478, 38.04, 2520
1736868446.9795582, 38.04, 2520
1736868446.9816363, 38.04, 2520
1736868446.983713, 38.04, 2520
1736868446.9857888, 38.04, 2520
1736868446.987867, 38.04, 2520
1736868446.989975, 38.04, 2520
1736868446.9920564, 38.04, 2520
1736868446.9941328, 38.04, 2520
1736868446.9962192, 38.04, 2520
1736868446.9983149, 38.04, 2520
1736868447.0003815, 38.04, 2520
1736868447.0024662, 43.929, 2520
1736868447.0047133, 43.929, 2520
1736868447.0068362, 43.929, 2520
1736868447.0089204, 43.929, 2520
1736868447.0109968, 43.929, 2520
1736868447.0130718, 43.929, 2520
1736868447.0151484, 43.929, 2520
1736868447.017222, 43.929, 2520
1736868447.0192957, 43.929, 2520
1736868447.0213737, 43.929, 2520
1736868447.0234497, 43.929, 2520
1736868447.0255234, 43.929, 2520
1736868447.027599, 43.929, 2520
1736868447.0296862, 43.929, 2520
1736868447.0317676, 43.929, 2520
1736868447.033845, 43.929, 2520
1736868447.0359223, 43.929, 2520
1736868447.0380006, 43.929, 2520
1736868447.0400798, 43.929, 2520
1736868447.0421562, 43.929, 2520
1736868447.0442338, 43.929, 2520
1736868447.0463138, 43.929, 2520
1736868447.0483923, 43.929, 2520
1736868447.0504699, 43.929, 2520
1736868447.0525444, 43.929, 2520
1736868447.0546186, 43.929, 2520
1736868447.0566938, 43.929, 2520
1736868447.0587716, 43.929, 2520
1736868447.060864, 43.929, 2520
1736868447.0629463, 43.929, 2520
1736868447.0650234, 43.929, 2520
1736868447.0670984, 43.929, 2520
1736868447.0691743, 43.929, 2520
1736868447.071251, 43.929, 2520
1736868447.0733347, 43.929, 2520
1736868447.0754158, 43.929, 2520
1736868447.077493, 43.929, 2520
1736868447.0795672, 43.929, 2520
1736868447.0816429, 43.929, 2775
1736868447.0837178, 43.929, 2775
1736868447.0858006, 43.929, 2775
1736868447.0879025, 43.929, 2775
1736868447.0899901, 43.929, 2775
1736868447.0920696, 43.929, 2775
1736868447.0941443, 43.929, 2775
1736868447.0962095, 43.929, 2775
1736868447.098278, 43.929, 2775
1736868447.100343, 43.929, 2775
1736868447.1024137, 53.079, 2775
1736868447.104478, 53.079, 2775
1736868447.106544, 53.079, 2775
1736868447.108612, 53.079, 2775
1736868447.1106796, 53.079, 2775
1736868447.11275, 53.079, 2775
1736868447.1148257, 53.079, 2775
1736868447.1169066, 53.079, 2775
1736868447.118986, 53.079, 2775
1736868447.1210675, 53.079, 2775
1736868447.1231446, 53.079, 2775
1736868447.125223, 53.079, 2775
1736868447.1272962, 53.079, 2775
1736868447.1294434, 53.079, 2775
1736868447.131552, 53.079, 2775
1736868447.1336367, 53.079, 2775
1736868447.1357152, 53.079, 2775
1736868447.1377828, 53.079, 2775
1736868447.1398687, 53.079, 2775
1736868447.1419384, 53.079, 2775
1736868447.1439872, 53.079, 2775
1736868447.1460636, 53.079, 2775
1736868447.1481416, 53.079, 2775
1736868447.1502185, 53.079, 2775
1736868447.1523008, 53.079, 2775
1736868447.1543794, 53.079, 2775
1736868447.1564574, 53.079, 2775
1736868447.1585357, 53.079, 2775
1736868447.1606076, 53.079, 2775
1736868447.1626694, 53.079, 2775
1736868447.164733, 53.079, 2775
1736868447.166795, 53.079, 2775
1736868447.1688664, 53.079, 2775
1736868447.170938, 53.079, 2775
1736868447.173013, 53.079, 2775
1736868447.1750865, 53.079, 2775
1736868447.1771646, 53.079, 2775
1736868447.1795099, 53.079, 2775
1736868447.181659, 53.079, 2775
1736868447.1838727, 53.079, 2775
1736868447.185963, 53.079, 2775
1736868447.1880505, 53.079, 2775
1736868447.1901276, 53.079, 2775
1736868447.1922147, 53.079, 2775
1736868447.1943023, 53.079, 2775
1736868447.1963806, 53.079, 2775
1736868447.1984613, 53.079, 2775
1736868447.2005255, 53.079, 2775
1736868447.2025898, 53.079, 2775
1736868447.2046525, 63.676, 2775
1736868447.2067142, 63.676, 2775
1736868447.2087762, 63.676, 2775
1736868447.210838, 63.676, 2775
1736868447.212903, 63.676, 2775
1736868447.2149687, 63.676, 2775
1736868447.2170331, 63.676, 2775
1736868447.2190948, 63.676, 2775
1736868447.2211552, 63.676, 2775
1736868447.2232158, 63.676, 2775
1736868447.225277, 63.676, 2775
1736868447.2273374, 63.676, 2775
1736868447.2294004, 63.676, 2775
1736868447.2314634, 63.676, 2775
1736868447.2335298, 63.676, 2775
1736868447.2356014, 63.676, 2775
1736868447.2376885, 63.676, 2775
1736868447.239798, 63.676, 2775
1736868447.2418897, 63.676, 2775
1736868447.2439802, 63.676, 2775
1736868447.2460601, 63.676, 2775
1736868447.2481372, 63.676, 2775
1736868447.250215, 63.676, 2775
1736868447.25229, 63.676, 2775
1736868447.25437, 63.676, 2775
1736868447.2564576, 63.676, 2775
1736868447.2585356, 63.676, 2775
1736868447.2606149, 63.676, 2775
1736868447.2626898, 63.676, 2775
1736868447.2647638, 63.676, 2775
1736868447.2668386, 63.676, 2775
1736868447.2689161, 63.676, 2775
1736868447.2709975, 63.676, 2775
1736868447.273069, 63.676, 2775
1736868447.2751355, 63.676, 2775
1736868447.2771974, 63.676, 2775
1736868447.2792583, 63.676, 2775
1736868447.281346, 63.676, 2775
1736868447.2834907, 63.676, 2775
1736868447.2855737, 63.676, 2775
1736868447.2876542, 63.676, 2775
1736868447.28973, 63.676, 2775
1736868447.2918053, 63.676, 2775
1736868447.2938824, 63.676, 2775
1736868447.2959573, 63.676, 2775
1736868447.2980433, 63.676, 2775
1736868447.3001194, 63.676, 2775
1736868447.3021955, 63.676, 2775
1736868447.3042738, 74.886, 2775
1736868447.3063533, 74.886, 2775
1736868447.308437, 74.886, 2775
1736868447.310516, 74.886, 2775
1736868447.312602, 74.886, 2775
1736868447.3146834, 74.886, 2775
1736868447.3167648, 74.886, 2775
1736868447.3188453, 74.886, 2775
1736868447.3209212, 74.886, 2775
1736868447.3229985, 74.886, 2775
